pdf,text
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"for
 
them
 
to
 
do
 
so.
 
Instead,
 
the
 
Babine
 
and
 
Wet’suwet’en
 
spent
 
most
 
of
 
the
 
long
 
winter
 
months
 
doing
 
what
 
they
 
liked
 
best—
 
feasting,
 
gambling,
 
and
 
socializing.
 
Furthermore,
 
the
 
chiefs,
 
who
 
handled
 
most
 
of
 
the
 
trade
 
of
 
their
 
followers,
 
refused
 
to
 
break
 
their
 
well-established
 
trading
 
connections
 
with
 
other
 
nations.
 
The
 
best
 
that
 
Brown
 
could
 
do
 
was
 
persuade
 
them
 
to
 
divide
 
their"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"was
 
persuade
 
them
 
to
 
divide
 
their
 
loyalties.
 
In
 
this
 
way
 
he
 
obtained
 
a
 
small
 
share
 
of
 
the
 
regional
 
fur
 
trade
 
while
 
the
 
coastal
 
Tsimshian
 
held
 
on
 
to
 
the
 
largest
 
part.
 
Unable
 
to
 
outwit
 
its
 
coast
 
Tsimshian
 
opponents,
 
the
 
HBC
 
decided
 
to
 
try
 
a
 
new
 
tactic.
 
In
 
1831
 
it
 
established
 
the
 
first
 
Fort
 
Simpson
 
on
 
the
 
coast
 
between
 
the
 
Nass
 
and
 
Skeena
 
rivers
 
(later
 
relocating
 
it"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Skeena
 
rivers
 
(later
 
relocating
 
it
 
to
 
the
 
Skeena
 
River)
 
so
 
the
 
company
 
could
 
become
 
the
 
Tsimshian’s
 
primary
 
supplier.
 
This
 
was
 
part
 
of
 
an
 
overall
 
strategy
 
to
 
establish
 
a
 
strong
 
presence
 
on
 
the
 
coast,
 
which
 
began
 
in
 
1827
 
with
 
the
 
construction
 
of
 
Fort
 
Langley
 
on
 
the
 
lower
 
Fraser
 
River.
 
In
 
1833
 
it
 
built
 
Fort
 
McLaughlin
 
on
 
Milbanke
 
Sound,
 
near
 
Bella
 
Bella.
 
Operating
 
posts
 
at"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"near
 
Bella
 
Bella.
 
Operating
 
posts
 
at
 
these
 
strategic
 
locations
 
enabled
 
the
 
HBC
 
to
 
outfit
 
most
 
of
 
the
 
key
 
mainland
 
coastal
 
groups.
 
To
 
enhance
 
its
 
position
 
even
 
further,
 
the
 
company
 
eliminated
 
Russian
 
competition
 
from
 
the
 
north
 
by
 
negotiating
 
an
 
arrangement
 
with
 
the
 
Russian
 
American
 
Fur
 
Company
 
in
 
1839.
 
In
 
it
 
the
 
HBC
 
obtained
 
exclusive
 
trading
 
rights
 
in
 
the
 
Alaska
 
Panhandle
 
for"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"rights
 
in
 
the
 
Alaska
 
Panhandle
 
for
 
an
 
annual
 
payment
 
of
 
river-otter
 
skins;
 
in
 
the
 
1840s
 
the
 
payment
 
for
 
this
 
concession
 
amounted
 
to
 
an
 
impressive
 
fifty
 
thousand
 
pelts.
 
As
 
it
 
had
 
hoped,
 
the
 
company
 
profited
 
indirectly
 
from
 
the
 
traffic
 
into
 
and
 
out
 
of
 
the
 
Gitxsan
 
and
 
Wet’suwet’en
 
territories
 
through
 
Tsimshian
 
middlemen
 
at
 
Fort
 
Simpson.
 
 
NEW
 
ZEALAND-STYLE
 
LAND
 
SURRENDERS
 
ON"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"NEW
 
ZEALAND-STYLE
 
LAND
 
SURRENDERS
 
ON
 
VANCOUVER
 
ISLAND
 
At
 
the
 
same
 
time
 
that
 
the
 
British
 
Colonial
 
Office
 
was
 
searching
 
for
 
someone
 
to
 
develop
 
a
 
settlement
 
on
 
the
 
West
 
Coast
 
to
 
act
 
as
 
a
 
buffer
 
against
 
American
 
encroachment,
 
the
 
HBC
 
was
 
interested
 
in
 
Vancouver
 
Island
 
for
 
its
 
agricultural
 
and
 
mineral
 
potential—particularly
 
coal.
 
The
 
Native
 
people
 
had
 
shown
 
company
 
officers
 
deposits"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"had
 
shown
 
company
 
officers
 
deposits
 
at
 
various
 
locations
 
on
 
the
 
island.
 
In
 
1849
 
the
 
Colonial
 
Office
 
accepted
 
the
 
HBC’s
 
proposal
 
to
 
establish
 
a
 
colony
 
on
 
Vancouver
 
Island.
 
The
 
settlement
 
at
 
Fort
 
Victoria
 
got
 
off
 
to
 
a
 
very
 
shaky
 
start
 
because
 
the
 
Colonial
 
Office
 
chose
 
Richard
 
Blanshard
 
as
 
its
 
first
 
governor.
 
He
 
was
 
an
 
English
 
lawyer
 
who
 
knew
 
nothing
 
about
 
the
 
region
 
or
 
its"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"knew
 
nothing
 
about
 
the
 
region
 
or
 
its
 
people.
 
The
 
manner
 
in
 
which
 
Blanshard
 
dealt
 
with
 
one
 
group
 
in
 
1850
 
was
 
reminiscent
 
of
 
the
 
practices
 
of
 
the
 
early
 
maritime
 
fur
 
traders.
 
That
 
year
 
three
 
HBC
 
men
 
had
 
deserted
 
ship
 
in
 
the
 
territory
 
of
 
the
 
Newitty
 
(a
 
Kwakwaka’wakw
 
group)
 
and
 
had
 
been
 
murdered
 
by
 
some
 
unknown
 
assailants.
 
The
 
Newitty
 
claimed
 
that
 
the
 
killers
 
belonged
 
to
 
a"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"that
 
the
 
killers
 
belonged
 
to
 
a
 
northern
 
group,
 
perhaps
 
the
 
Kitkatla
 
or
 
Haida,
 
but
 
a
 
neighbouring
 
and
 
hostile
 
Kwakwaka’wakw
 
group
 
living
 
next
 
to
 
Fort
 
Rupert
 
blamed
 
the
 
Newitty.
 
The
 
magistrate
 
at
 
the
 
fort
 
was
 
baffled.
 
The
 
new
 
governor,
 
however,
 
resolved
 
to
 
take
 
decisive
 
action,
 
fearing
 
that
 
Fort
 
Rupert
 
would
 
be
 
attacked
 
by
 
the
 
surrounding
 
well-armed
 
Kwakwaka’wakw.
 
 
The
 
purported"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"well-armed
 
Kwakwaka’wakw.
 
 
The
 
purported
 
wrongdoers
 
would
 
pay
 
for
 
their
 
crimes
 
to
 
safeguard
 
against
 
any
 
“sudden
 
outburst
 
of
 
fury
 
to
 
which
 
all
 
savages
 
are
 
liable.”
 
At
 
Fort
 
Rupert,
 
Blanshard
 
authorized
 
the
 
local
 
magistrate
 
to
 
offer
 
the
 
Newitty
 
a
 
reward
 
for
 
the
 
arrest
 
of
 
the
 
murderers.
 
According
 
to
 
the
 
governor,
 
the
 
Newitty
 
responded
 
by
 
taking
 
up
 
arms,
 
by
 
acknowledging
 
their
 
kinsmen"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"up
 
arms,
 
by
 
acknowledging
 
their
 
kinsmen
 
had
 
committed
 
the
 
crime,
 
and
 
by
 
refusing
 
to
 
turn
 
them
 
over
 
to
 
the
 
magistrate.
 
Instead,
 
as
 
was
 
their
 
tradition,
 
they
 
offered
 
to
 
pay
 
compensation.
 
Blanshard
 
flatly
 
rejected
 
their
 
proposal
 
and
 
dispatched
 
three
 
Royal
 
Navy
 
boats
 
to
 
the
 
culprits’
 
village
 
to
 
seize
 
them.
 
By
 
the
 
time
 
this
 
party
 
arrived,
 
the
 
Newitty
 
had
 
fled
 
north.
 
The
 
marines"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Newitty
 
had
 
fled
 
north.
 
The
 
marines
 
and
 
sailors
 
set
 
fire
 
to
 
the
 
deserted
 
settlement,
 
but
 
neither
 
Blanshard
 
nor
 
the
 
naval
 
commander
 
thought
 
that
 
this
 
was
 
sufficient
 
punishment.
 
They
 
sent
 
the
 
H.
 
M.
 
S.
 
Daphne
 
northward
 
with
 
Blanshard
 
on
 
board
 
to
 
force
 
the
 
Newitty
 
to
 
turn
 
over
 
the
 
murderers.
 
After
 
a
 
brief
 
armed
 
clash,
 
the
 
villagers
 
retreated
 
into
 
the
 
forest
 
and
 
Blanshard’s"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"into
 
the
 
forest
 
and
 
Blanshard’s
 
force
 
burned
 
this
 
settlement
 
too,
 
as
 
well
 
as
 
all
 
their
 
canoes.
 
In
 
the
 
end,
 
the
 
Newitty
 
yielded
 
up
 
three
 
mutilated
 
bodies,
 
which
 
they
 
claimed
 
were
 
those
 
of
 
the
 
murderers.
 
This
 
seminal
 
episode
 
resulted
 
in
 
some
 
important
 
interim
 
policy
 
changes.
 
The
 
Colonial
 
Office
 
disapproved
 
of
 
Blanshard’s
 
heavy-handed
 
measures.
 
The
 
colonial
 
secretary,
 
the
 
3rd
 
Earl"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"The
 
colonial
 
secretary,
 
the
 
3rd
 
Earl
 
Grey,
 
in
 
typical
 
understated
 
fashion,
 
told
 
the
 
governor,
 
“I
 
should
 
state
 
for
 
your
 
guidance
 
on
 
future
 
occasions
 
that
 
Her
 
Majesty’s
 
Government
 
cannot
 
undertake
 
to
 
protect,
 
or
 
attempt
 
to
 
punish
 
injuries
 
committed
 
upon
 
British
 
subjects,
 
who
 
voluntarily
 
expose
 
themselves
 
to
 
the
 
violence
 
or
 
treachery
 
of
 
the
 
Native
 
Tribes
 
at
 
a
 
distance
 
from
 
the"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"Tribes
 
at
 
a
 
distance
 
from
 
the
 
settlements.”
 
Legal
 
advisers
 
of
 
the
 
Crown
 
warned
 
the
 
Royal
 
Navy
 
to
 
move
 
cautiously
 
and
 
with
 
a
 
great
 
deal
 
more
 
tolerance
 
in
 
the
 
future
 
if
 
British
 
subjects
 
were
 
murdered
 
by
 
Native
 
people
 
and
 
commanders
 
did
 
not
 
witness
 
the
 
act.
 
Blanshard’s
 
year
 
in
 
office
 
also
 
made
 
it
 
clear
 
to
 
the
 
Colonial
 
Office
 
that
 
the
 
HBC’s
 
Vancouver
 
Island
 
colony
 
needed
 
a"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"HBC’s
 
Vancouver
 
Island
 
colony
 
needed
 
a
 
governor
 
who
 
understood
 
Native
 
people,
 
had
 
good
 
leadership
 
skills,
 
and
 
would
 
use
 
force
 
judiciously.
 
These
 
considerations
 
led
 
to
 
the
 
appointment
 
of
 
HBC
 
Chief
 
Factor
 
James
 
Douglas
 
in
 
1851.
 
Douglas
 
was
 
an
 
intriguing
 
character
 
of
 
mixed
 
Scottish
 
and
 
“free
 
coloured”
 
West
 
Indian
 
ancestry.
 
He
 
was
 
married,
 
à
 
la
 
façon
 
du
 
pays,
 
to
 
Amelia
 
Connolly,
 
the"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"du
 
pays,
 
to
 
Amelia
 
Connolly,
 
the
 
mixed-blood
 
daughter
 
of
 
Chief
 
Factor
 
William
 
Connolly,
 
Douglas’s
 
former
 
superior
 
officer,
 
and
 
Susanne
 
Pas-du-nom,
 
a
 
Cree.
 
Early
 
in
 
his
 
career,
 
Douglas’s
 
brashness
 
nearly
 
cost
 
him
 
his
 
life.
 
His
 
wife
 
and
 
a
 
Carrier
 
chief
 
named
 
Kwah
 
saved
 
him.
 
This
 
important
 
story
 
began
 
in
 
1823
 
when
 
two
 
Carrier
 
men
 
at
 
Fort
 
George
 
killed
 
two
 
HBC
 
employees
 
in
 
a"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"killed
 
two
 
HBC
 
employees
 
in
 
a
 
dispute
 
over
 
two
 
Carrier
 
women.
 
The
 
company
 
retaliated
 
by
 
closing
 
the
 
post,
 
which
 
was
 
located
 
at
 
the
 
confluence
 
of
 
the
 
Nechako
 
and
 
Fraser
 
rivers.
 
Local
 
officers
 
wanted
 
to
 
take
 
more
 
drastic
 
measures
 
to
 
avenge
 
the
 
murder
 
of
 
their
 
comrades.
 
For
 
several
 
years
 
they
 
encouraged
 
the
 
Carrier
 
to
 
kill
 
the
 
murderers,
 
but
 
the
 
influential
 
Kwah
 
repeatedly"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"but
 
the
 
influential
 
Kwah
 
repeatedly
 
blocked
 
his
 
people
 
from
 
doing
 
so.
 
The
 
chief
 
was
 
an
 
elderly
 
man
 
who
 
had
 
gained
 
fame
 
for
 
his
 
prowess
 
as
 
a
 
warrior.
 
Kwah
 
held
 
a
 
noble
 
title,
 
which
 
he
 
had
 
inherited
 
from
 
his
 
mother’s
 
brother,
 
and
 
lived
 
in
 
a
 
village
 
near
 
Fort
 
St
 
James,
 
on
 
Stuart
 
Lake.
 
One
 
of
 
the
 
suspects
 
came
 
to
 
the
 
village
 
in
 
1828
 
and
 
took
 
refuge
 
in
 
Kwah’s
 
house"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"1828
 
and
 
took
 
refuge
 
in
 
Kwah’s
 
house
 
while
 
he
 
was
 
away;
 
Carrier
 
tradition
 
held
 
that
 
those
 
who
 
had
 
committed
 
crimes
 
could
 
use
 
a
 
chief’s
 
house
 
as
 
a
 
sanctuary.
 
When
 
he
 
learned
 
that
 
the
 
alleged
 
offender
 
was
 
nearby,
 
the
 
young
 
and
 
reckless
 
Douglas
 
gathered
 
up
 
a
 
few
 
of
 
his
 
men,
 
marched
 
to
 
Kwah’s
 
house,
 
and
 
killed
 
the
 
man.
 
Several
 
days
 
later,
 
Kwah
 
and
 
his
 
followers
 
arrived"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"later,
 
Kwah
 
and
 
his
 
followers
 
arrived
 
at
 
Fort
 
St
 
James
 
and
 
an
 
ugly
 
confrontation
 
ensued.
 
Douglas
 
grabbed
 
for
 
a
 
gun
 
when
 
he
 
saw
 
the
 
angry
 
mob,
 
but
 
Kwah
 
restrained
 
him.
 
Amelia
 
Douglas
 
then
 
seized
 
a
 
dagger
 
from
 
the
 
father
 
of
 
the
 
murdered
 
man,
 
but
 
was
 
disarmed.
 
In
 
the
 
commotion,
 
Kwah’s
 
nephew
 
reached
 
Douglas
 
and,
 
holding
 
a
 
sword
 
to
 
the
 
trader’s
 
chest,
 
told
 
the
 
chief
 
to"
Ray Chapter 12 PLACED ON A LITTLE SPOT.pdf,"trader’s
 
chest,
 
told
 
the
 
chief
 
to
 
give
 
the
 
word
 
and
 
he
 
would
 
kill
 
him.
 
In
 
desperation,
 
Amelia
 
and
 
the
 
wife
 
of
 
the
 
HBC
 
interpreter
 
promised
 
restitution
 
and
 
hurled
 
gifts
 
at
 
Kwah’s
 
followers.
 
The
 
chief
 
had
 
already
 
made
 
his
 
point,
 
and
 
the
 
women’s
 
actions
 
gave
 
him
 
an
 
out.
 
He
 
asked
 
his
 
followers
 
to
 
take
 
pity
 
on
 
Douglas
 
and
 
accept
 
the
 
presents
 
as
 
adequate
 
compensation
 
for"
